ADDR_GU,CONTENT_ID,CONTENT_NM,CRADLE_COUNT,LATITUDE,LONGITUDE,NEW_ADDR,RENT_ID
노원구,1656,중앙하이츠 아파트 입구,10.0,37.654999,127.067436,서울특별시 노원구 노원로 428중앙하이츠 아파트 입구,ST-1124
노원구,1657,노원구청,10.0,37.654049,127.057327,서울특별시 노원구 노해로 437 노원구청 ,ST-1125
노원구,1659,중계동 을지중학교,10.0,37.65033,127.071602,서울특별시 노원구 중계동 370중계동 을지중학교,ST-1127
노원구,1660,서울시립과학관,8.0,37.642071,127.076622,서울특별시 노원구 하계동 266서울시립과학관,ST-1128
노원구,1661,당현천근린공원,10.0,37.649639,127.065605,서울특별시 노원구 동일로 1342당현천근린공원,ST-1278
노원구,1662,노원역7번출구,15.0,37.654114,127.059151,서울특별시 노원구 노해로 467노원역 7번출구,ST-1279
노원구,1663,동해문화예술관앞,20.0,37.619381,127.057854,서울특별시 노원구 화랑로 429동해문화예술관앞,ST-1280
노원구,1664,노해근린공원내,10.0,37.649361,127.070442,서울특별시 노원구 노원로22길 1노해근린공원내,ST-1281
노원구,1665,양지근린공원앞,10.0,37.647335,127.076424,서울특별시 노원구 한글비석로 227양지근린공원앞,ST-1282
노원구,1666,노원소방서인근,10.0,37.655781,127.071777,서울특별시 노원구 노원로26길 111노원소방서인근,ST-1283
노원구,1667,중계중학교,10.0,37.654499,127.074387,서울특별시 노원구 덕릉로76길 23중계중학교,ST-1284
노원구,1668,중계역 6번출구,10.0,37.645508,127.063255,서울특별시 노원구 동일로 지하 1308-1중계역 6번출구,ST-1285
노원구,1669,중계역 3번출구,9.0,37.643528,127.065224,서울특별시 노원구 동일로 지하 1308-1중계역 3번출구,ST-1286
노원구,1670,노원경찰서교차로,15.0,37.64341,127.071838,서울특별시 노원구 노원로 283노원경찰서교차로,ST-1287
노원구,1671,인덕대학교,15.0,37.629349,127.054825,서울특별시 노원구 초안산로 12인덕대학교,ST-1288
