번호,대여소,거치대수,주소,위도,경도
1195,코오롱One&Only타워,20,서울특별시 강서구 마곡동로 110 코오롱글로벌㈜,37.564129,126.834312
1196,서울식물원(문화센터) 건너편,15,서울특별시 강서구 마곡동로 161 서울식물원(문화센터) 건너편,37.568241,126.835831
1197,엘펠리체 호텔 건너편,20,서울특별시 강서구 강서로 247 엘펠리체 호텔 건너편,37.560242,126.835808
1198,LG 사이언스파크,20,서울특별시 강서구 마곡중앙10로 10 LG 사이언스파크,37.562550,126.827438
1199,우장산역 3번출구,13,서울특별시 강서구 강서로 247 우장산역 3번출구,37.547821,126.836128
120,신수동 사거리,5,서울특별시 마포구 토정로 211 371-11,37.545242,126.934113
1200,개화광역환승센터,10,서울특별시 강서구 개화동로8길 38 개화광역환승센터,37.578449,126.798973
1201,가락시장역 3번 출구,10,서울특별시 송파구 송파대로 지하 257 송파구 가락동 214-3,37.493179,127.118546
1203,밀리아나2빌딩 앞,20,서울특별시 송파구 송파대로28길 24 송파구 가락동 100-2,37.493729,127.120621
1204,거여역 3번출구,10,서울특별시 송파구 오금로 지하 499 3번출구,37.493343,127.144730
1205,종합운동장역 4번출구,15,서울특별시 송파구 올림픽로 8 송파구 잠실동 50,37.510429,127.071373
1206,9호선종합운동장역 9번출구,20,서울특별시 송파구 올림픽로 지하 23 송파구 잠실동 53-4,37.511280,127.078239
1207,마천CU우방점 앞,10,서울특별시 송파구 성내천로 233 송파구 마천동 200-58,37.499756,127.152504
1208,풍납현대아파트쉼터,20,서울특별시 송파구 풍성로14길 19 송파구 풍납동 465,37.529675,127.119789
1209,잠실나루역 (2번 출구 쪽),20,서울특별시 송파구 오금로 20 송파구 신천동 15,37.520451,127.104202
121,마포소방서 앞,15,서울특별시 마포구 창전로 76 100-18,37.549767,126.933174
1210,롯데월드타워(잠실역2번출구 쪽),30,서울특별시 송파구 올림픽로 293-19 송파구 신천동 28,37.513126,127.100960
1211,방이삼거리,7,서울특별시 송파구 석촌호수로 298 송파구 신천동 33,37.512104,127.107780
1212,송파역 2번 출구앞,10,서울특별시 송파구 송파대로 지하 354 송파구 가락동 459-4,37.499413,127.112869
1213,백토공원 앞,20,서울특별시 송파구 양재대로72길 47-8 송파구 오금동 6-2,37.507660,127.132736
1214,오금역 7번 출구 인근,10,서울특별시 송파구 오금로 지하 321 송파구 오금동 44-2,37.502594,127.127647
1215,올림픽공원역 1번출구 앞,15,서울특별시 송파구 양재대로 지하 1233 송파구 방이동 89-28,37.516571,127.131538
1217,송파파인타운 7단지,15,서울특별시 송파구 충민로4길 19 송파구 장지동 839-4,37.479305,127.129799
1218,방이역 4번출구,12,서울특별시 송파구 양재대로 지하 1127 송파구 방이동 217-2,37.508968,127.125839
122,신성기사식당 앞,10,서울특별시 마포구 독막로 223-1 50-2,37.547459,126.938377
1220,잠실본동주민센터뒤 잠실근린공원,15,서울특별시 송파구 백제고분로15길 7 송파구 잠실동 230,37.505692,127.084038
1221,삼전사거리 포스코더샵,10,서울특별시 송파구 백제고분로 188 잠실포스코더샵,37.504200,127.087532
1222,잠실새내역 5번 출구 뒤,15,서울특별시 송파구 백제고분로 95 송파구 잠실동 19-10,37.511982,127.085052
1224,아시아지하보도 2번 출구,15,서울특별시 송파구 올림픽로 74 송파구 잠실동 20,37.512169,127.078934
1226,잠실4동 주민센터 옆,10,서울특별시 송파구 올림픽로35길 16 송파구 신천동 20-50,37.520077,127.112366
1227,거여역 8번출구 뒤,10,서울특별시 송파구 오금로 지하 499 송파구 거여동 20-14,37.493126,127.143822
1228,마천사거리,10,서울특별시 송파구 거마로 51 송파구 거여동 133-60,37.497700,127.146202
1229,송파체육문화회관 앞,15,서울특별시 송파구 양산로 15 송파구 거여동 289-9,37.490688,127.143127
123,문화촌 공원,20,서울특별시 서대문구 홍제동 277-23 277-23,37.594330,126.947388
1230,송파중학교 정문,10,서울특별시 송파구 동남로 203 송파구 가락동 195-1,37.495670,127.130592
1231,잠실역 6번출구,10,서울특별시 송파구 석촌호수로12길 3-5 송파구 잠실동 31,37.514088,127.099030
1232,롯데마트 주차장 옆,10,서울특별시 송파구 석촌호수로12길 3-19 송파구 잠실동 39,37.512089,127.096191
1233,잠실3거리(갤러리아팰리스),9,서울특별시 송파구 석촌호수로12길 3-17 송파구 잠실동 38,37.510509,127.093369
1235,잠실트리지움310동 옆,15,서울특별시 송파구 잠실로 62 송파구 잠실동 36-1,37.508339,127.088142
1239,문정 법조단지3,20,서울특별시 송파구 정의로 30 송파구 문정동 396-3,37.480843,127.118011
124,서강대 정문 건너편,20,서울특별시 마포구 서강로16길 72 84-5,37.551140,126.936989
1240,문정 법조단지4,10,서울특별시 송파구 새말로 62 송파구 문정동 305-24,37.480576,127.118568
1241,문정 법조단지5,15,서울특별시 송파구 새말로 62 송파구 문정동 398-5,37.481239,127.119797
1242,문정 법조단지6,15,서울특별시 송파구 법원로 101 송파구 문정동 361-1,37.482090,127.119743
1243,문정 법조단지7,20,서울특별시 송파구 법원로 101 문정동 346-2,37.484531,127.120163
1244,문정 법조단지8,7,서울특별시 송파구 법원로 101 문정동 619,37.481537,127.122124
1245,문정 법조단지9,10,서울특별시 송파구 법원로 101 문정동 619,37.479465,127.125328
1246,문정 법조단지10,30,서울특별시 송파구 송파대로 지하 82 장지동 201-5,37.477509,127.126328
1247,문정 법조단지11,15,서울특별시 송파구 법원로 101 문정동 627,37.478821,127.123512
1248,방이초등학교,20,서울특별시 송파구 위례성대로 114 송파구 방이동 75,37.513962,127.121674
1249,아주중학교건너편,10,서울특별시 송파구 도곡로 446 송파구 잠실동 128,37.505463,127.077347
125,서강대 남문 옆,15,서울특별시 마포구 백범로 35 1-30,37.549484,126.938950
1250,문정2동 주민센터,10,서울특별시 송파구 중대로 16 송파구 중대로 16,37.489872,127.110840
1251,석촌역 2번출구,10,서울특별시 송파구 송파동 68  석촌역 2번출구,37.505932,127.107750
1253,오금역 3번 출구 뒤,10,서울특별시  송파구 가락동 10-15  오금역 3번 출구 뒤,37.501652,127.128181
1256,문정현대아파트 교차로,8,서울특별시 송파구 문정동 3-2  문정현대아파트 교차로,37.491131,127.125809
1257,가락시장역 롯데마트앞,20,서울특별시 송파구 가락동 214-15  가락시장역 롯데마트앞,37.492100,127.117752
1258,가락미륭아파트 앞,10,서울특별시 서울 송파구 가락동 195-4 가락미륭아파트 앞,37.493198,127.128998
1259,방이역 1번출구,15,서울특별시 송파구 오금동 17-20 방이역 1번출구,37.508984,127.126595
126,서강대 후문 옆,20,서울특별시 마포구 대흥로 122 38-16,37.550411,126.943848
1260,방이동 한양3차아파트 옆,8,서울특별시 송파구 방이동 225-1 방이동 한양3차아파트 옆,37.506302,127.121399
1262,송파여성문화회관 앞,10,서울특별시 송파구 송파동 2-3  송파여성문화회관 앞,37.505802,127.109718
1263,장지공영차고지,10,서울특별시 송파구 장지동 861-6 장지공영차고지,37.480541,127.137016
1264,천호역 10번 출구 앞,8,서울특별시 송파구 풍납동 490-16 천호역 10번 출구 앞,37.538582,127.122803
1265,문정동 근린공원,10,서울특별시 송파구 문정동 38-3 문정동 근린공원,37.485989,127.124763
1266,문정동 글샘 공원,10,서울특별시 송파구 문정동 627 장지동 글샘 공원,37.478809,127.120003
1267,올림픽공원 남2문 앞,15,서울특별시 송파구 올림픽로 424 올림픽공원 남2문 앞,37.514240,127.123070
1268,몽촌토성역 1번출구 옆,15,서울특별시 송파구 방이동 88-21  몽촌토성역 1번출구 옆,37.517288,127.114197
1269,리센츠아파트,10,서울특별시 송파구 올림픽로 135 리센츠아파트,37.511944,127.091217
127,현대벤처빌 앞,15,서울특별시 마포구 백범로 10 31-213,37.553520,126.936951
1271,송파도서관,15,서울특별시 송파구 동남로 263 송파도서관,37.499985,127.135391
1274,영파여고 앞,20,서울특별시 송파구 올림픽로 565 영파여고 앞,37.532848,127.121048
1275,거여초등학교 옆,15,서울특별시 송파구 마천로25길 18 거여초등학교 옆,37.504589,127.139366
1277,오금동 송파 참병원,8,서울특별시 송파구 마천로 164 오금동 송파 참병원,37.503757,127.137093
1278,송파구청 교차로,10,서울특별시 송파구 올림픽로 336 송파구청 교차로,37.515831,127.106796
1279,마천금호어울림 1차아파트 건너편,10,서울특별시 송파구 성내천로39길 4 마천금호어울림 1차아파트 건너편,37.497517,127.154678
128,신촌역(2호선) 1번출구 옆,20,서울특별시 서대문구 연세로 3-5 30-16,37.555496,126.936340
