CONTENT_ID,CONTENT_NM,CRADLE_COUNT,ADDRESS,LATITUDE,LONGITUDE,ADDR_GU
647,신이문역 1번출구,10,서울특별시 동대문구 신이문로 44 신이문역 1번출구,37.602798,127.067268,동대문구
648,장안동위더스빌옆,15,서울특별시 동대문구 한천로 42 장안동위더스빌옆,37.5667,127.062424,동대문구
650,중랑교사거리,20,서울특별시 동대문구 망우로 131 중랑교사거리,37.591534,127.067741,동대문구
651,우리은행청량리지점앞,10,서울특별시 동대문구 왕산로 239 우리은행청량리지점앞,37.582747999999995,127.04827900000001,동대문구
652,답십리 래미안엘파인아파트 입구,20,서울특별시 동대문구 사가정로 190 답십리 래미안엘파인아파트 입구,37.57653,127.065941,동대문구
654,전농동 텃골공원,10,서울특별시 동대문구 사가정로 65 전농동 텃골공원,37.577621,127.052109,동대문구
656,영휘원 교차로,10,서울특별시 동대문구 홍릉로 78-1 영휘원 교차로,37.587238,127.04313700000002,동대문구
657,동대문롯데캐슬아파트 앞,13,서울특별시 동대문구 답십리로23길 30 동대문롯데캐슬아파트 앞,37.575759999999995,127.04836999999999,동대문구
658,촬영소 사거리,10,서울특별시 동대문구 답십리로 233 촬영소 사거리,37.572948,127.066147,동대문구
659,제기역1번출구,15,서울특별시 동대문구 왕산로 87 제기역1번출구,37.57835,127.03338600000001,동대문구
660,동의보감타워,10,서울특별시 동대문구 왕산로 128 동의보감타워,37.577999,127.037628,동대문구
661,경희대학교 청운관,10,서울특별시 동대문구 경희대로 26 경희대학교 청운관,37.594601000000004,127.05196399999998,동대문구
663,외대앞역 4번출구,10,서울특별시 동대문구 휘경로14가길 31 외대앞역 4번출구,37.594891,127.06302600000001,동대문구
700,KB국민은행 염창역 지점 앞,20,서울특별시 양천구 목동 559 KB국민은행 염창역 지점 앞,37.546848,126.872772,양천구
701,목동사거리 부근,8,서울특별시 양천구 목동 813 목동사거리 부근,37.532803,126.86393000000001,양천구
702,목4동주민센터 옆,16,서울특별시 양천구 목동 904-3 목4동주민센터 옆,37.532543,126.868729,양천구
703,오목교역 7번출구 앞,12,서울특별시 양천구 목동 451 오목교역 7번출구 앞,37.524063,126.87558,양천구
704,남부법원검찰청 교차로,15,서울특별시 양천구 신정동 1095 남부법원검찰청 교차로,37.523254,126.864906,양천구
